FT        ID        AT        WT        ST        
4         2         0         2         2         
5         3         1         1         3         
5         1         0         2         3         
6         6         4         1         1         
6         5         3         1         2         
8         11        5         1         2         
8         12        5         1         2         
9         13        6         1         2         
9         14        6         1         2         
9         7         4         1         4         
10        18        8         1         1         
10        10        5         1         4         
11        16        6         1         4         
12        17        8         1         3         
13        8         5         1         7         
13        9         5         1         7         
15        22        11        1         3         
15        20        9         1         5         
15        15        6         1         8         
17        26        13        1         3         
18        39        16        1         1         
18        30        13        1         4         
18        24        12        1         5         
18        23        11        1         6         
19        38        16        1         2         
19        34        15        1         3         
19        27        13        3         3         
19        4         3         1         15        
20        37        16        1         3         
20        25        12        1         7         
22        41        18        1         3         
22        31        13        1         8         
22        21        10        1         11        
23        43        20        1         2         
24        28        13        8         3         
25        36        16        1         8         
26        53        24        1         1         
27        46        22        1         4         
28        49        22        1         5         
28        44        20        1         7         
28        42        20        1         7         
29        57        26        1         2         
29        58        26        1         2         
30        47        22        1         7         
30        35        15        1         14        
30        32        14        1         15        
31        60        27        1         3         
31        52        24        1         6         
31        54        24        1         6         
31        50        23        1         7         
32        48        22        1         9         
33        69        31        1         1         
33        68        30        1         2         
33        65        30        1         2         
33        64        29        1         3         
33        63        28        1         4         
33        56        25        1         7         
33        51        24        1         8         
35        71        33        1         1         
35        62        28        1         6         
36        70        32        1         3         
37        72        34        1         2         
37        67        30        1         6         
37        40        17        1         19        
39        77        37        1         1         
39        74        36        1         2         
41        82        39        1         1         
42        66        30        1         11        
43        81        38        1         4         
43        75        36        1         6         
44        87        42        1         1         
44        84        39        1         4         
44        76        36        1         7         
44        45        21        1         22        
45        96        43        1         1         
45        97        43        1         1         
45        89        43        1         1         
45        80        37        1         7         
45        73        35        1         9         
47        93        43        1         3         
48        100       44        1         3         
48        106       44        1         3         
48        85        41        1         6         
49        114       46        1         2         
49        111       45        1         3         
49        99        44        1         4         
49        94        43        1         5         
49        91        43        1         5         
49        79        37        1         11        
50        110       45        1         4         
50        107       45        1         4         
50        95        43        1         6         
50        86        42        1         7         
51        83        39        1         11        
52        121       49        1         2         
52        122       49        1         2         
52        102       44        4         4         
52        112       46        1         5         
53        92        43        1         9         
54        135       52        1         1         
55        108       45        1         9         
56        138       52        1         3         
56        118       49        1         6         
57        145       55        1         1         
57        104       44        10        3         
57        98        44        1         12        
57        88        42        1         14        
58        125       51        2         5         
58        131       51        1         6         
59        117       47        10        2         
59        141       54        1         4         
59        120       49        2         8         
60        140       54        1         5         
60        137       52        1         7         
61        123       50        1         10        
61        90        43        1         17        
62        130       51        1         10        
62        103       44        1         17        
63        148       56        1         6         
63        149       56        1         6         
63        143       55        1         7         
63        132       52        1         10        
64        147       56        1         7         
64        146       56        1         7         
64        126       51        3         10        
65        127       51        10        4         
65        139       54        1         10        
67        61        27        1         39        
69        128       51        11        7         
69        119       49        1         19        
71        129       51        17        3         
75        136       52        18        5         
80        59        27        1         52        
83        116       47        1         35        

Region A:
#Orders: 41   (Norm: 14   Frozen: 15   VIP: 12)
#Motors: 351   (Norm: 324   Frozen: 23   VIP: 4)
AvgWait: 0.902439  AvgServ: 4.80488

Region B:
#Orders: 38   (Norm: 13   Frozen: 12   VIP: 13)
#Motors: 41   (Norm: 34   Frozen: 5   VIP: 2)
AvgWait: 1  AvgServ: 5.60526

Region C:
#Orders: 47   (Norm: 19   Frozen: 18   VIP: 10)
#Motors: 13   (Norm: 5   Frozen: 3   VIP: 5)
AvgWait: 2.68085  AvgServ: 7.02128

Region D:
#Orders: 23   (Norm: 8   Frozen: 9   VIP: 6)
#Motors: 78   (Norm: 67   Frozen: 7   VIP: 4)
AvgWait: 0.913043  AvgServ: 5

RestautantAvgWait: 1.37408   RestaurantAvgServ: 5.60785
